m,n,m/n,nClass,meanAll,avgSTDAll,entropyClass,Q75,Q25,Q75-Q25,ChiClass,avgChiAll,medChiAll,stdChiAll,minChiAll,maxChiAll,avgPearCorrClass,avgPearCorrAll,avgKendCorrClass,avgKendCorrAll,avgSpeaCorrClass,avgSpeaCorrAll,avgCovClass,avgCovAll,avgKLNormAll,avgKLUnifAll,avgKLLogiAll,avgKLExpoAll,avgKLChiAll,avgKLRaylAll,avgKLParetAll,avgKLZipfAll,KLNormClass,KLUnifClass,KLLogiClass,KLExpoClass,KLChiClass,KLRaylClass,KLParetClass,KLZipfClass,radComClass,class
696,65,10.70769231,3,0.457287616,0.113412155,6.438516343,3,1,2,268.4675325,21.00974897,22.49232493,8.196445308,6.532491107,37.26672271,0.039020463,0.642809211,0.032798987,0.482185903,0.037691542,0.628018752,0.013462429,0.008344909,0,0,83.09209146,2054.92297,0,0,-274.488087,707.7195699,-256.5464532,759.2233157,-475.6291075,-86.61744443,83.6198278,1979.090219,-398.9788228,162.4005,0.122126437,0.440973085
696,65,10.70769231,3,0.466473978,0.125218268,6.435629175,3,1,2,277.8461538,23.98401786,24.17882609,6.538889534,13.33556123,34.79394538,-0.031303904,0.765818367,-0.021230966,0.575463385,-0.031948261,0.724148238,0.006072468,0.012042606,0,0,75.992047,2024.329173,0,0,-261.4925862,772.3185493,-267.4694888,799.5314266,-456.7083072,-8.942277545,107.09016,2148.352364,-426.6794907,89.287207,0.108716475,0.380890269
696,65,10.70769231,3,0.48410045,0.115665461,6.438516343,3,1,2,268.4675325,19.98491308,18.89771087,6.775188289,10.40696273,39.00357996,0.04651902,0.672893383,0.058270031,0.467943163,0.070942112,0.610894909,0.013980653,0.009042922,0,0,80.11597423,2026.517942,0,0,-248.0931248,793.6881527,-259.1882835,726.948105,-486.1214145,-106.3675542,138.9360233,2197.937932,-403.1636814,210.6354485,0.117816092,0.382070393
696,65,10.70769231,3,0.513062364,0.11562937,6.437042634,3,1,2,273.2387097,19.32398837,20.85704838,8.214492088,5.458879283,33.28568554,0.089483477,0.510367515,0.063978532,0.400984896,0.078220671,0.539130284,0.017581306,0.007126983,0,0,136.7088399,2100.301565,0,0,-266.0769287,714.6011637,-269.5756407,703.3435977,-503.2445435,-118.476759,106.1300806,1914.896265,-449.2483161,51.80497543,0.100574713,0.426625259
696,65,10.70769231,3,0.443818217,0.114567097,6.438516343,3,1,2,268.4675325,21.25147151,21.20754697,6.488702954,5.564040501,36.54781593,-0.034165328,0.599145847,0.000924752,0.431540304,-0.003345263,0.572781407,0.006194135,0.008123192,0,0,75.13369447,2070.863133,0,0,-255.0720092,758.2265158,-266.222375,750.4843525,-469.7334346,-122.1810203,63.10387297,2069.550991,-412.0687192,108.547355,0.112068966,0.399503106
696,65,10.70769231,3,0.452801596,0.121678372,6.437042634,3,1,2,273.2387097,23.13618687,20.58910893,5.810485656,15.04621992,38.91753497,-0.002740357,0.771351338,-0.003509406,0.610353093,-0.007871752,0.768742873,0.008740439,0.011354852,0,0,92.43589855,2124.594131,0,0,-292.474958,634.411354,-285.0614954,672.7334104,-470.41343,-80.09465021,86.61430957,2107.984267,-409.9854585,121.2891747,0.107758621,0.37057971
696,65,10.70769231,3,0.540842712,0.089791104,6.438516343,3,1,2,268.4675325,10.73768811,10.24532413,3.528291401,5.899412681,25.56195139,-0.010039588,0.769306278,-0.008532484,0.529852215,-0.014513318,0.677326455,0.008769412,0.006106042,0,0,142.8477585,2060.828959,0,0,-261.8578478,692.1237667,-259.7974709,664.3906589,-501.3762936,-52.15679286,156.6854577,2119.89421,-429.5684708,157.1755497,0.114463602,0.388281573
696,65,10.70769231,3,0.487690329,0.110997972,6.437042634,3,1,2,273.2387097,17.6367444,17.31026892,1.993529499,13.96537388,23.0259135,-0.160468721,0.762988271,-0.070988397,0.568932287,-0.096289554,0.717083035,-0.00543094,0.009362892,0,0,100.3137702,2097.94151,0,0,-274.3757583,694.0376695,-285.5092186,660.8137244,-494.6425343,-81.97951573,117.2061886,2141.437257,-432.8543685,89.26268655,0.117816092,0.364989648
696,65,10.70769231,3,0.519406727,0.117367941,6.438516343,3,1,2,268.4675325,21.27392851,18.54821774,13.08788107,3.863255443,46.49407112,-0.044401397,0.630573684,-0.019145193,0.48139879,-0.029732402,0.63078071,0.00571631,0.009063801,0,0,141.6479639,2113.309716,0,0,-266.3425432,669.2626493,-263.0379608,686.5014884,-501.5924507,-105.6223667,109.1453956,1985.885713,-452.1686463,93.48814482,0.127394636,0.29747412
696,65,10.70769231,3,0.441588821,0.125520392,6.438516343,3,1,2,268.4675325,25.6944749,24.72698212,6.949438049,12.33124199,41.34560531,-0.129729156,0.640974303,-0.070561805,0.425281663,-0.095372482,0.563614225,-0.00450119,0.010178662,0,0,57.87079156,1981.264543,0,0,-268.6881557,734.6008617,-296.7933438,558.2773037,-457.2802705,-63.736877,79.16973494,2130.33967,-413.3190042,134.9750259,0.112068966,0.385175983
