0,P,B,AP,A,AA,LR,AA - AP,AA - LR,AP - LR
S104.csv,LR,ET,0.502849389,ET,0.50608322,0.502849389,0.003233830999999965,0.003233830999999965,0.0
S009.csv,RC,LR,0.502567288,LR,0.518447205,0.518447205,0.01587991700000002,0.0,-0.01587991700000002
S060.csv,MLP,RC,0.534244306,RC,0.548861284,0.545942029,0.014616978000000058,0.0029192550000000095,-0.011697723000000049
S106.csv,LR,RF,0.517163561,RF,0.52310559,0.517163561,0.00594202899999996,0.00594202899999996,0.0
S015.csv,LR,LR,0.571801242,LR,0.571801242,0.571801242,0.0,0.0,0.0
S108.csv,RC,MLP,0.479813665,MLP,0.494182195,0.488447205,0.01436852999999999,0.005734989999999995,-0.008633539999999995
S083.csv,MLP,LDA,0.468426501,LDA,0.472691511,0.463933747,0.0042650100000000135,0.008757764000000001,0.004492753999999988
S041.csv,RF,RC,0.495921325,RC,0.526045549,0.523250518,0.030124223999999977,0.0027950310000000034,-0.027329192999999974
S088.csv,RC,RC,0.505592441,RC,0.505592441,0.502247191,0.0,0.0033452499999999663,0.0033452499999999663
S067.csv,RF,ET,0.482898551,ET,0.491656315,0.478509317,0.008757764000000001,0.01314699800000002,0.00438923400000002
S105.csv,LR,LR,0.537246377,LR,0.537246377,0.537246377,0.0,0.0,0.0
S010.csv,RF,RC,0.504306418,RC,0.551594203,0.54310559,0.04728778499999997,0.008488612999999923,-0.03879917200000005
S075.csv,MLP,MLP,0.472732919,MLP,0.472732919,0.44826087,0.0,0.024472048999999996,0.024472048999999996
S087.csv,ET,MLP,0.462753623,MLP,0.51310559,0.503043478,0.050351967,0.010062111999999956,-0.04028985500000004
S053.csv,MLP,MLP,0.498654244,MLP,0.498654244,0.452774327,0.0,0.04587991700000005,0.04587991700000005
S011.csv,RC,MLP,0.501532091,MLP,0.520310559,0.50436853,0.018778468000000048,0.01594202899999997,-0.0028364390000000794
S024.csv,MLP,LR,0.514492754,LR,0.515838509,0.515838509,0.001345754999999893,0.0,-0.001345754999999893
S074.csv,LDA,LR,0.42389234,LR,0.550414079,0.550414079,0.12652173899999997,0.0,-0.12652173899999997
S085.csv,LR,RF,0.5073706,RF,0.526024845,0.5073706,0.018654245000000014,0.018654245000000014,0.0
S048.csv,LR,RC,0.614968944,RC,0.62494824,0.614968944,0.009979296000000026,0.009979296000000026,0.0
S045.csv,RF,RF,0.488654244,RF,0.488654244,0.475548654,0.0,0.01310559,0.01310559
S055.csv,RC,RC,0.571635611,RC,0.571635611,0.552960663,0.0,0.018674948000000025,0.018674948000000025
S005.csv,LR,LR,0.499979296,LR,0.499979296,0.499979296,0.0,0.0,0.0
S049.csv,RC,LR,0.484078675,LR,0.488530021,0.488530021,0.004451345999999967,0.0,-0.004451345999999967
S025.csv,ET,ET,0.503291925,ET,0.503291925,0.50184265,0.0,0.0014492750000000276,0.0014492750000000276
S014.csv,ET,RF,0.47115942,RF,0.494223602,0.486915114,0.02306418199999999,0.007308488000000002,-0.015755693999999987
S101.csv,RF,RF,0.570745342,RF,0.570745342,0.559047619,0.0,0.011697723000000049,0.011697723000000049
S081.csv,RC,MLP,0.52300207,MLP,0.541697723,0.540310559,0.01869565299999998,0.0013871639999999408,-0.017308489000000038
S070.csv,RC,RC,0.599213251,RC,0.599213251,0.587619048,0.0,0.011594203000000025,0.011594203000000025
S084.csv,ET,RF,0.528964803,RF,0.53320911,0.496066253,0.004244307000000003,0.03714285700000003,0.032898550000000026
S052.csv,RF,ET,0.50010352,ET,0.534616977,0.5173706,0.03451345699999997,0.01724637699999998,-0.01726707999999999
S039.csv,LR,LR,0.494430642,LR,0.494430642,0.494430642,0.0,0.0,0.0
S022.csv,MLP,LR,0.594699793,LR,0.614886128,0.614886128,0.020186335,0.0,-0.020186335
