0,P,B,AP,A,AA,LR,AA - AP,AA - LR,AP - LR
S094.csv,LR,LR,0.540310559,LR,0.540310559,0.540310559,0.0,0.0,0.0
S091.csv,RC,MLP,0.518819876,MLP,0.563354037,0.528944099,0.04453416099999996,0.03440993800000003,-0.010124222999999932
S036.csv,LR,LDA,0.464140787,LDA,0.487122153,0.464140787,0.022981366000000003,0.022981366000000003,0.0
S053.csv,MLP,MLP,0.498654244,MLP,0.498654244,0.452774327,0.0,0.04587991700000005,0.04587991700000005
S088.csv,LR,RC,0.502247191,RC,0.505592441,0.502247191,0.0033452499999999663,0.0033452499999999663,0.0
S004.csv,LR,RF,0.564927536,RF,0.572070393,0.564927536,0.007142856999999947,0.007142856999999947,0.0
S049.csv,LR,LR,0.488530021,LR,0.488530021,0.488530021,0.0,0.0,0.0
S046.csv,RF,RC,0.47699793,RC,0.524430642,0.521697723,0.04743271199999999,0.002732919000000056,-0.04469979299999993
S019.csv,LR,LR,0.522857143,LR,0.522857143,0.522857143,0.0,0.0,0.0
S107.csv,RC,RC,0.487163561,RC,0.487163561,0.481449275,0.0,0.005714286000000013,0.005714286000000013
S054.csv,LR,LR,0.527536232,LR,0.527536232,0.527536232,0.0,0.0,0.0
S063.csv,RF,RF,0.514327122,RF,0.514327122,0.510124224,0.0,0.004202897999999955,0.004202897999999955
S060.csv,LR,RC,0.545942029,RC,0.548861284,0.545942029,0.0029192550000000095,0.0029192550000000095,0.0
S066.csv,MLP,LR,0.506004141,LR,0.506149068,0.506149068,0.0001449270000000169,0.0,-0.0001449270000000169
S031.csv,LR,ET,0.467039337,ET,0.494306418,0.467039337,0.027267081000000026,0.027267081000000026,0.0
S013.csv,MLP,RC,0.50115942,RC,0.528550725,0.504120083,0.027391304999999977,0.024430642000000002,-0.0029606629999999745
S075.csv,RC,MLP,0.415217391,MLP,0.472732919,0.44826087,0.05751552799999998,0.024472048999999996,-0.03304347899999999
S038.csv,LR,LR,0.47699793,LR,0.47699793,0.47699793,0.0,0.0,0.0
S057.csv,MLP,MLP,0.610600414,MLP,0.610600414,0.609233954,0.0,0.0013664599999999583,0.0013664599999999583
S089.csv,LR,RF,0.484099379,RF,0.522960663,0.484099379,0.038861283999999996,0.038861283999999996,0.0
S098.csv,MLP,RF,0.492774327,RF,0.527163561,0.511469979,0.034389233999999935,0.015693581999999928,-0.018695652000000007
S073.csv,MLP,MLP,0.533084886,MLP,0.533084886,0.528716356,0.0,0.004368530000000037,0.004368530000000037
S072.csv,LR,MLP,0.471200828,MLP,0.511511387,0.471200828,0.04031055899999997,0.04031055899999997,0.0
S101.csv,MLP,RF,0.563540373,RF,0.570745342,0.559047619,0.0072049690000000055,0.011697723000000049,0.004492754000000043
S097.csv,LR,RF,0.478447205,RF,0.49310559,0.478447205,0.014658384999999996,0.014658384999999996,0.0
S086.csv,LR,ET,0.545859213,ET,0.584616977,0.545859213,0.03875776400000008,0.03875776400000008,0.0
S069.csv,RC,RC,0.525942029,RC,0.525942029,0.514451346,0.0,0.011490683000000002,0.011490683000000002
S062.csv,RC,RC,0.54300207,RC,0.54300207,0.531407867,0.0,0.011594203000000025,0.011594203000000025
S105.csv,RF,LR,0.492939959,LR,0.537246377,0.537246377,0.044306418000000014,0.0,-0.044306418000000014
S080.csv,LR,LR,0.474099379,LR,0.474099379,0.474099379,0.0,0.0,0.0
S025.csv,ET,ET,0.503291925,ET,0.503291925,0.50184265,0.0,0.0014492750000000276,0.0014492750000000276
S040.csv,ET,ET,0.542981366,ET,0.542981366,0.541552795,0.0,0.0014285710000000451,0.0014285710000000451
S033.csv,RC,LR,0.564782609,LR,0.58494824,0.58494824,0.020165631000000017,0.0,-0.020165631000000017
