0,P,B,AP,A,AA,LR,AA - AP,AA - LR,AP - LR
S079.csv,MLP,LR,0.481614907,LR,0.511780538,0.511780538,0.030165631000000026,0.0,-0.030165631000000026
S054.csv,LR,LR,0.527536232,LR,0.527536232,0.527536232,0.0,0.0,0.0
S069.csv,RC,RC,0.525942029,RC,0.525942029,0.514451346,0.0,0.011490683000000002,0.011490683000000002
S038.csv,RC,LR,0.475610766,LR,0.47699793,0.47699793,0.0013871639999999963,0.0,-0.0013871639999999963
S040.csv,ET,ET,0.542981366,ET,0.542981366,0.541552795,0.0,0.0014285710000000451,0.0014285710000000451
S096.csv,MLP,RC,0.571718427,RC,0.59194617,0.580517598,0.020227743000000076,0.011428572000000026,-0.00879917100000005
S031.csv,LR,ET,0.467039337,ET,0.494306418,0.467039337,0.027267081000000026,0.027267081000000026,0.0
S011.csv,MLP,MLP,0.520310559,MLP,0.520310559,0.50436853,0.0,0.01594202899999997,0.01594202899999997
S039.csv,LR,LR,0.494430642,LR,0.494430642,0.494430642,0.0,0.0,0.0
S098.csv,MLP,RF,0.492774327,RF,0.527163561,0.511469979,0.034389233999999935,0.015693581999999928,-0.018695652000000007
S056.csv,LR,MLP,0.504430642,MLP,0.520207039,0.504430642,0.015776396999999998,0.015776396999999998,0.0
S092.csv,LR,RC,0.510086823,RC,0.519113892,0.510086823,0.009027069000000054,0.009027069000000054,0.0
S017.csv,LR,LR,0.58194617,LR,0.58194617,0.58194617,0.0,0.0,0.0
S042.csv,LR,RC,0.554741201,RC,0.559130435,0.554741201,0.00438923400000002,0.00438923400000002,0.0
S099.csv,LR,LR,0.484389234,LR,0.484389234,0.484389234,0.0,0.0,0.0
S109.csv,LR,RF,0.489917,RF,0.508758,0.489917,0.018841000000000052,0.018841000000000052,0.0
S007.csv,LR,MLP,0.543188406,MLP,0.55194617,0.543188406,0.008757764000000057,0.008757764000000057,0.0
S070.csv,MLP,RC,0.586293996,RC,0.599213251,0.587619048,0.012919255000000018,0.011594203000000025,-0.0013250519999999932
S022.csv,MLP,LR,0.594699793,LR,0.614886128,0.614886128,0.020186335,0.0,-0.020186335
S097.csv,RC,RF,0.474078675,RF,0.49310559,0.478447205,0.019026914999999978,0.014658384999999996,-0.004368529999999982
S084.csv,RF,RF,0.53320911,RF,0.53320911,0.496066253,0.0,0.03714285700000003,0.03714285700000003
S035.csv,MLP,RC,0.543126294,RC,0.546128364,0.54320911,0.003002069999999968,0.0029192539999999267,-8.281600000004108e-05
S101.csv,LR,RF,0.559047619,RF,0.570745342,0.559047619,0.011697723000000049,0.011697723000000049,0.0
S091.csv,RF,MLP,0.511304348,MLP,0.563354037,0.528944099,0.052049688999999955,0.03440993800000003,-0.017639750999999926
S047.csv,LR,LDA,0.508881988,LDA,0.560351967,0.508881988,0.051469979000000055,0.051469979000000055,0.0
S067.csv,RF,ET,0.482898551,ET,0.491656315,0.478509317,0.008757764000000001,0.01314699800000002,0.00438923400000002
S086.csv,RF,ET,0.560144928,ET,0.584616977,0.545859213,0.024472048999999996,0.03875776400000008,0.014285715000000088
S081.csv,MLP,MLP,0.541697723,MLP,0.541697723,0.540310559,0.0,0.0013871639999999408,0.0013871639999999408
S058.csv,LR,LR,0.560351967,LR,0.560351967,0.560351967,0.0,0.0,0.0
S102.csv,RC,RC,0.594989648,RC,0.594989648,0.577743271,0.0,0.01724637699999998,0.01724637699999998
S090.csv,RC,LR,0.540227743,LR,0.545921325,0.545921325,0.00569358200000003,0.0,-0.00569358200000003
S108.csv,MLP,MLP,0.494182195,MLP,0.494182195,0.488447205,0.0,0.005734989999999995,0.005734989999999995
S004.csv,MLP,RF,0.541801242,RF,0.572070393,0.564927536,0.03026915099999994,0.007142856999999947,-0.02312629399999999
