0,P,B,AP,A,AA,LR,AA - AP,AA - LR,AP - LR
S075.csv,RC,"MLP, RF, LR",0.415217391,MLP,0.472732919,0.44826087,0.05751552799999998,0.024472048999999996,-0.03304347899999999
S105.csv,LR,"LR, MLP, RC",0.537246377,LR,0.537246377,0.537246377,0.0,0.0,0.0
S083.csv,LR,"ET, RC, LDA, LR, MLP, RF",0.463933747,LDA,0.472691511,0.463933747,0.008757764000000001,0.008757764000000001,0.0
S043.csv,MLP,"LR, ET, RF, RC, MLP",0.530020704,LR,0.537349896,0.537349896,0.00732919200000004,0.0,-0.00732919200000004
S048.csv,LR,"RC, LR",0.614968944,RC,0.62494824,0.614968944,0.009979296000000026,0.009979296000000026,0.0
S078.csv,RC,"MLP, ET, RC, LR",0.461325052,MLP,0.484244306,0.474161491,0.022919254,0.010082815000000023,-0.012836438999999977
S015.csv,LR,"LR, ET, RF, RC, MLP",0.571801242,LR,0.571801242,0.571801242,0.0,0.0,0.0
S022.csv,LR,"LR, RF, RC, MLP",0.614886128,LR,0.614886128,0.614886128,0.0,0.0,0.0
S046.csv,LR,"RC, MLP, LR",0.521697723,RC,0.524430642,0.521697723,0.002732919000000056,0.002732919000000056,0.0
S106.csv,RF,"RF, ET, RC, MLP, LR",0.52310559,RF,0.52310559,0.517163561,0.0,0.00594202899999996,0.00594202899999996
S023.csv,LR,"RC, MLP, LR",0.477101449,RC,0.489979296,0.477101449,0.012877846999999998,0.012877846999999998,0.0
S004.csv,LR,"RF, ET, RC, LR",0.564927536,RF,0.572070393,0.564927536,0.007142856999999947,0.007142856999999947,0.0
S018.csv,LR,"LR, MLP",0.63505176,LR,0.63505176,0.63505176,0.0,0.0,0.0
S085.csv,LR,"RF, ET, LR",0.5073706,RF,0.526024845,0.5073706,0.018654245000000014,0.018654245000000014,0.0
S057.csv,RF,"MLP, ET, RF, RC, LR",0.58194617,MLP,0.610600414,0.609233954,0.02865424399999994,0.0013664599999999583,-0.02728778399999998
S041.csv,RC,"RC, ET, LR, MLP",0.526045549,RC,0.526045549,0.523250518,0.0,0.0027950310000000034,0.0027950310000000034
S088.csv,RC,"RC, MLP, LR",0.505592441,RC,0.505592441,0.502247191,0.0,0.0033452499999999663,0.0033452499999999663
S104.csv,MLP,"ET, RC, LDA, LR, MLP, RF",0.493894166,ET,0.50608322,0.502849389,0.012189053999999921,0.003233830999999965,-0.008955222999999957
S021.csv,LR,"ET, RF, RC, LR, MLP",0.47699793,ET,0.49,0.47699793,0.013002069999999977,0.013002069999999977,0.0
S079.csv,LR,"LR, RC",0.511780538,LR,0.511780538,0.511780538,0.0,0.0,0.0
S097.csv,MLP,"RF, ET, RC, MLP, LR",0.492836439,RF,0.49310559,0.478447205,0.0002691509999999675,0.014658384999999996,0.014389234000000029
S025.csv,RC,"ET, RF, RC, LR, MLP",0.499089027,ET,0.503291925,0.50184265,0.004202897999999955,0.0014492750000000276,-0.0027536229999999273
S017.csv,LR,"LR, MLP, RC",0.58194617,LR,0.58194617,0.58194617,0.0,0.0,0.0
S087.csv,RC,"MLP, RC, LR",0.5073706,MLP,0.51310559,0.503043478,0.005734989999999995,0.010062111999999956,0.004327121999999961
S092.csv,RF,"RC, ET, RF, LR, MLP",0.505617978,RC,0.519113892,0.510086823,0.013495914000000053,0.009027069000000054,-0.004468844999999999
S068.csv,LR,"ET, RF",0.501532091,ET,0.535879917,0.501532091,0.03434782600000008,0.03434782600000008,0.0
S028.csv,LR,"MLP, RC, LR, LDA",0.491677019,MLP,0.492981366,0.491677019,0.0013043469999999835,0.0013043469999999835,0.0
S051.csv,LR,"RF, ET",0.489979296,RF,0.550227743,0.489979296,0.06024844699999998,0.06024844699999998,0.0
S011.csv,LR,"MLP, ET, RC, LR",0.50436853,MLP,0.520310559,0.50436853,0.01594202899999997,0.01594202899999997,0.0
S101.csv,LR,"RF, ET, MLP, LR",0.559047619,RF,0.570745342,0.559047619,0.011697723000000049,0.011697723000000049,0.0
S010.csv,LR,"RC, MLP, LR",0.54310559,RC,0.551594203,0.54310559,0.008488612999999923,0.008488612999999923,0.0
S066.csv,MLP,"LR, MLP, RC",0.506004141,LR,0.506149068,0.506149068,0.0001449270000000169,0.0,-0.0001449270000000169
S044.csv,MLP,"LR, ET, RC, MLP",0.52884058,LR,0.528861284,0.528861284,2.0703999999982514e-05,0.0,-2.0703999999982514e-05
