0,P,B,AP,A,AA,LR,AA - AP,AA - LR,AP - LR
S043.csv,MLP,"LR, RF, RC, MLP",0.530020704,LR,0.537349896,0.537349896,0.00732919200000004,0.0,-0.00732919200000004
S056.csv,LR,"MLP, ET, RF, LR",0.504430642,MLP,0.520207039,0.504430642,0.015776396999999998,0.015776396999999998,0.0
S051.csv,LR,"RF, ET",0.489979296,RF,0.550227743,0.489979296,0.06024844699999998,0.06024844699999998,0.0
S011.csv,MLP,"MLP, RC, LR",0.520310559,MLP,0.520310559,0.50436853,0.0,0.01594202899999997,0.01594202899999997
S010.csv,LR,"RC, LR",0.54310559,RC,0.551594203,0.54310559,0.008488612999999923,0.008488612999999923,0.0
S078.csv,MLP,"MLP, LR",0.484244306,MLP,0.484244306,0.474161491,0.0,0.010082815000000023,0.010082815000000023
S005.csv,LR,"LR, ET, RC, RF",0.499979296,LR,0.499979296,0.499979296,0.0,0.0,0.0
S084.csv,RF,"RF, ET, MLP",0.53320911,RF,0.53320911,0.496066253,0.0,0.03714285700000003,0.03714285700000003
S035.csv,LR,"RC, MLP, LR",0.54320911,RC,0.546128364,0.54320911,0.0029192539999999267,0.0029192539999999267,0.0
S016.csv,RC,"RC, ET, RF, LR, MLP",0.50010352,RC,0.50010352,0.48573499,0.0,0.014368530000000046,0.014368530000000046
S092.csv,RF,"RC, RF, LR, MLP",0.505617978,RC,0.519113892,0.510086823,0.013495914000000053,0.009027069000000054,-0.004468844999999999
S065.csv,LR,"ET, RF",0.448426501,ET,0.476956522,0.448426501,0.028530021000000017,0.028530021000000017,0.0
S098.csv,LR,"RF, LR",0.511469979,RF,0.527163561,0.511469979,0.015693581999999928,0.015693581999999928,0.0
S089.csv,LR,"RF, ET",0.484099379,RF,0.522960663,0.484099379,0.038861283999999996,0.038861283999999996,0.0
S068.csv,MLP,"ET, RF",0.502795031,ET,0.535879917,0.501532091,0.033084886000000036,0.03434782600000008,0.0012629400000000457
S103.csv,LR,"MLP, ET, RF, RC, LR",0.50447205,MLP,0.50873706,0.50447205,0.0042650100000000135,0.0042650100000000135,0.0
S049.csv,LR,"LR, ET, RF, RC, MLP",0.488530021,LR,0.488530021,0.488530021,0.0,0.0,0.0
S027.csv,RF,"MLP, ET, RF, RC, LR",0.495776398,MLP,0.51436853,0.511697723,0.01859213200000004,0.0026708069999999973,-0.01592132500000004
S052.csv,LR,"ET, LR",0.5173706,ET,0.534616977,0.5173706,0.01724637699999998,0.01724637699999998,0.0
S094.csv,LR,"LR, ET, RC, RF",0.540310559,LR,0.540310559,0.540310559,0.0,0.0,0.0
S074.csv,RF,"LR, ET, RF, RC, MLP",0.535983437,LR,0.550414079,0.550414079,0.014430641999999994,0.0,-0.014430641999999994
S085.csv,LR,"RF, ET, LR",0.5073706,RF,0.526024845,0.5073706,0.018654245000000014,0.018654245000000014,0.0
S053.csv,MLP,"MLP, ET, RF",0.498654244,MLP,0.498654244,0.452774327,0.0,0.04587991700000005,0.04587991700000005
S060.csv,RC,"RC, ET, RF, LR, MLP",0.548861284,RC,0.548861284,0.545942029,0.0,0.0029192550000000095,0.0029192550000000095
S015.csv,LR,"LR, MLP, RF",0.571801242,LR,0.571801242,0.571801242,0.0,0.0,0.0
S042.csv,MLP,"RC, MLP, LR",0.541656315,RC,0.559130435,0.554741201,0.017474120000000037,0.00438923400000002,-0.013084886000000018
S070.csv,RC,"RC, MLP, LR",0.599213251,RC,0.599213251,0.587619048,0.0,0.011594203000000025,0.011594203000000025
S039.csv,LR,"LR, RF, RC",0.494430642,LR,0.494430642,0.494430642,0.0,0.0,0.0
S067.csv,RF,"ET, RF, LR, MLP",0.482898551,ET,0.491656315,0.478509317,0.008757764000000001,0.01314699800000002,0.00438923400000002
S083.csv,LR,"LDA, RC, LR, MLP",0.463933747,LDA,0.472691511,0.463933747,0.008757764000000001,0.008757764000000001,0.0
S029.csv,MLP,"LR, MLP, RC",0.523167702,LR,0.534699793,0.534699793,0.011532091000000078,0.0,-0.011532091000000078
S095.csv,LR,LR,0.542815735,LR,0.542815735,0.542815735,0.0,0.0,0.0
S050.csv,LR,"RF, RC, LR",0.498695652,RF,0.517225673,0.498695652,0.018530021000000008,0.018530021000000008,0.0
