0,P,B,AP,A,AA,LR,AA - AP,AA - LR,AP - LR
S082.csv,ET,"MLP, ET, RF, RC, LR",0.537412008,MLP,0.561966874,0.544741201,0.02455486600000001,0.017225672999999997,-0.007329193000000012
S079.csv,RC,"LR, MLP, RC",0.50184265,LR,0.511780538,0.511780538,0.009937888000000061,0.0,-0.009937888000000061
S016.csv,MLP,"RC, ET, RF, LR, MLP",0.485942029,RC,0.50010352,0.48573499,0.014161491000000026,0.014368530000000046,0.00020703900000001996
S078.csv,LR,"MLP, ET, RF, RC, LR",0.474161491,MLP,0.484244306,0.474161491,0.010082815000000023,0.010082815000000023,0.0
S050.csv,MLP,"RF, ET, RC, MLP, LR",0.485652174,RF,0.517225673,0.498695652,0.031573499000000005,0.018530021000000008,-0.013043477999999997
S063.csv,LR,"RF, ET, RC, MLP, LR",0.510124224,RF,0.514327122,0.510124224,0.004202897999999955,0.004202897999999955,0.0
S019.csv,RF,"LR, ET, RF, RC, MLP",0.519937888,LR,0.522857143,0.522857143,0.0029192550000000095,0.0,-0.0029192550000000095
S107.csv,RF,"RC, LR, MLP, LDA",0.438364389,RC,0.487163561,0.481449275,0.048799172,0.005714286000000013,-0.04308488599999999
S030.csv,MLP,"RC, LR, MLP, LDA",0.574637681,RC,0.581904762,0.576149068,0.007267080999999953,0.005755693999999978,-0.0015113869999999752
S009.csv,LR,"LR, ET, RC, MLP",0.518447205,LR,0.518447205,0.518447205,0.0,0.0,0.0
S014.csv,MLP,"RF, ET, RC, MLP, LR",0.471035197,RF,0.494223602,0.486915114,0.023188404999999968,0.007308488000000002,-0.015879916999999966
S039.csv,LR,"LR, ET, RF, RC, MLP",0.494430642,LR,0.494430642,0.494430642,0.0,0.0,0.0
S075.csv,LR,"MLP, RF, LR",0.44826087,MLP,0.472732919,0.44826087,0.024472048999999996,0.024472048999999996,0.0
S073.csv,LR,"MLP, ET, RC, LR",0.528716356,MLP,0.533084886,0.528716356,0.004368530000000037,0.004368530000000037,0.0
S062.csv,RC,"RC, RF, LR, MLP",0.54300207,RC,0.54300207,0.531407867,0.0,0.011594203000000025,0.011594203000000025
S002.csv,RF,"ET, MLP, RF",0.547432712,ET,0.560559006,0.502898551,0.013126293999999983,0.057660454999999944,0.04453416099999996
S067.csv,LR,"ET, RF, RC, LR, MLP",0.478509317,ET,0.491656315,0.478509317,0.01314699800000002,0.01314699800000002,0.0
S013.csv,LR,"RC, MLP, LR",0.504120083,RC,0.528550725,0.504120083,0.024430642000000002,0.024430642000000002,0.0
S005.csv,LR,"LR, ET, RF, RC, MLP",0.499979296,LR,0.499979296,0.499979296,0.0,0.0,0.0
S032.csv,MLP,"MLP, ET, RF, RC, LR",0.593374741,MLP,0.593374741,0.574761905,0.0,0.018612835999999966,0.018612835999999966
S103.csv,RC,"MLP, ET, RF, RC, LR",0.501573499,MLP,0.50873706,0.50447205,0.0071635609999999295,0.0042650100000000135,-0.002898550999999916
S080.csv,LR,"LR, ET, RF, RC, MLP",0.474099379,LR,0.474099379,0.474099379,0.0,0.0,0.0
S023.csv,LR,"RC, MLP, LR",0.477101449,RC,0.489979296,0.477101449,0.012877846999999998,0.012877846999999998,0.0
S036.csv,LR,"LDA, ET, RC, LR, MLP",0.464140787,LDA,0.487122153,0.464140787,0.022981366000000003,0.022981366000000003,0.0
S102.csv,MLP,"RC, LR, MLP, LDA",0.559130435,RC,0.594989648,0.577743271,0.035859212999999945,0.01724637699999998,-0.018612835999999966
S044.csv,MLP,"LR, ET, RF, RC, MLP",0.52884058,LR,0.528861284,0.528861284,2.0703999999982514e-05,0.0,-2.0703999999982514e-05
S084.csv,ET,"RF, ET, LDA, MLP, LR",0.528964803,RF,0.53320911,0.496066253,0.004244307000000003,0.03714285700000003,0.032898550000000026
S015.csv,RF,"LR, ET, RF, RC, MLP",0.563271222,LR,0.571801242,0.571801242,0.008530020000000027,0.0,-0.008530020000000027
S100.csv,LR,"LR, ET, RF, RC, MLP",0.498279221,LR,0.498279221,0.498279221,0.0,0.0,0.0
S004.csv,RC,"RF, ET, RC, MLP, LR",0.553354037,RF,0.572070393,0.564927536,0.01871635599999999,0.007142856999999947,-0.011573499000000043
S109.csv,RF,"RF, ET, LR",0.508758,RF,0.508758,0.489917,0.0,0.018841000000000052,0.018841000000000052
S052.csv,RF,"ET, RF, LR, MLP",0.50010352,ET,0.534616977,0.5173706,0.03451345699999997,0.01724637699999998,-0.01726707999999999
S034.csv,LR,"ET, RF, RC, LR, MLP",0.507060041,ET,0.522836439,0.507060041,0.01577639799999997,0.01577639799999997,0.0
