0,P,B,AP,A,AA,LR,AA - AP,AA - LR,AP - LR
S088.csv,RF,"RC, MLP, LR",0.458324821,RC,0.505592441,0.502247191,0.04726762000000001,0.0033452499999999663,-0.043922370000000044
S085.csv,MLP,"RF, ET, LR",0.470124224,RF,0.526024845,0.5073706,0.05590062100000004,0.018654245000000014,-0.037246376000000025
S018.csv,LR,"LR, MLP",0.63505176,LR,0.63505176,0.63505176,0.0,0.0,0.0
S051.csv,LR,"RF, ET",0.489979296,RF,0.550227743,0.489979296,0.06024844699999998,0.06024844699999998,0.0
S103.csv,LR,"MLP, ET, RF, RC, LR",0.50447205,MLP,0.50873706,0.50447205,0.0042650100000000135,0.0042650100000000135,0.0
S073.csv,LR,"MLP, ET, LR",0.528716356,MLP,0.533084886,0.528716356,0.004368530000000037,0.004368530000000037,0.0
S075.csv,MLP,"MLP, RF, LR",0.472732919,MLP,0.472732919,0.44826087,0.0,0.024472048999999996,0.024472048999999996
S050.csv,RC,"RF, ET, RC, LR",0.507267081,RF,0.517225673,0.498695652,0.009958592000000044,0.018530021000000008,0.008571428999999964
S076.csv,LR,"RC, MLP, LR",0.488592133,RC,0.497267081,0.488592133,0.008674948000000016,0.008674948000000016,0.0
S054.csv,LR,"LR, ET, RF, RC, MLP",0.527536232,LR,0.527536232,0.527536232,0.0,0.0,0.0
S071.csv,LR,"RC, ET, LR, MLP",0.551821946,RC,0.553271222,0.551821946,0.0014492759999999993,0.0014492759999999993,0.0
S034.csv,LR,"ET, RF, RC, LR, MLP",0.507060041,ET,0.522836439,0.507060041,0.01577639799999997,0.01577639799999997,0.0
S004.csv,RC,"RF, ET, RC, LR",0.553354037,RF,0.572070393,0.564927536,0.01871635599999999,0.007142856999999947,-0.011573499000000043
S102.csv,RC,"RC, LR, LDA",0.594989648,RC,0.594989648,0.577743271,0.0,0.01724637699999998,0.01724637699999998
S020.csv,LR,"LR, ET, RF, RC, MLP",0.544596273,LR,0.544596273,0.544596273,0.0,0.0,0.0
S022.csv,MLP,"LR, RF, RC, MLP",0.594699793,LR,0.614886128,0.614886128,0.020186335,0.0,-0.020186335
S006.csv,ET,"RF, ET",0.565962733,RF,0.568881988,0.52873706,0.0029192550000000095,0.040144928000000024,0.037225673000000015
S003.csv,LR,"MLP, ET, RF, LR",0.531407867,MLP,0.545714286,0.531407867,0.01430641900000007,0.01430641900000007,0.0
S061.csv,RC,"MLP, RC",0.54320911,MLP,0.563291925,0.52884058,0.020082814999999976,0.03445134500000002,0.014368530000000046
S084.csv,ET,"RF, ET, MLP",0.528964803,RF,0.53320911,0.496066253,0.004244307000000003,0.03714285700000003,0.032898550000000026
S031.csv,LR,"ET, RF, RC, LR, MLP",0.467039337,ET,0.494306418,0.467039337,0.027267081000000026,0.027267081000000026,0.0
S005.csv,LR,"LR, ET, RF, RC, MLP",0.499979296,LR,0.499979296,0.499979296,0.0,0.0,0.0
S041.csv,RC,"RC, ET, LR, MLP",0.526045549,RC,0.526045549,0.523250518,0.0,0.0027950310000000034,0.0027950310000000034
S060.csv,LR,"RC, ET, RF, LR, MLP",0.545942029,RC,0.548861284,0.545942029,0.0029192550000000095,0.0029192550000000095,0.0
S035.csv,MLP,"RC, ET, RF, LR, MLP",0.543126294,RC,0.546128364,0.54320911,0.003002069999999968,0.0029192539999999267,-8.281600000004108e-05
S011.csv,LR,"MLP, ET, RC, LR",0.50436853,MLP,0.520310559,0.50436853,0.01594202899999997,0.01594202899999997,0.0
S074.csv,MLP,"LR, ET, RF, RC, MLP",0.543229814,LR,0.550414079,0.550414079,0.007184264999999912,0.0,-0.007184264999999912
S025.csv,ET,"ET, RF, RC, LR, MLP",0.503291925,ET,0.503291925,0.50184265,0.0,0.0014492750000000276,0.0014492750000000276
S083.csv,RC,"ET, RC, LDA, LR, MLP, RF",0.462505176,LDA,0.472691511,0.463933747,0.01018633499999999,0.008757764000000001,-0.0014285709999999896
S066.csv,MLP,"LR, MLP, RC",0.506004141,LR,0.506149068,0.506149068,0.0001449270000000169,0.0,-0.0001449270000000169
S044.csv,MLP,"LR, ET, RC, MLP",0.52884058,LR,0.528861284,0.528861284,2.0703999999982514e-05,0.0,-2.0703999999982514e-05
S105.csv,MLP,"LR, MLP, RC",0.529834369,LR,0.537246377,0.537246377,0.00741200799999997,0.0,-0.00741200799999997
S104.csv,MLP,"ET, RC, LDA, LR, MLP, RF",0.493894166,ET,0.50608322,0.502849389,0.012189053999999921,0.003233830999999965,-0.008955222999999957
