0,P,B,AP,A,AA,LR,AA - AP,AA - LR,AP - LR
S067.csv,LR,"ET, RF, LR, MLP",0.478509317,ET,0.491656315,0.478509317,0.01314699800000002,0.01314699800000002,0.0
S014.csv,LR,"RF, RC, LR",0.486915114,RF,0.494223602,0.486915114,0.007308488000000002,0.007308488000000002,0.0
S019.csv,RC,"LR, RF, RC, MLP",0.515776398,LR,0.522857143,0.522857143,0.007080744999999999,0.0,-0.007080744999999999
S073.csv,LR,"MLP, ET, LR",0.528716356,MLP,0.533084886,0.528716356,0.004368530000000037,0.004368530000000037,0.0
S009.csv,LR,"LR, MLP, RC",0.518447205,LR,0.518447205,0.518447205,0.0,0.0,0.0
S061.csv,MLP,MLP,0.563291925,MLP,0.563291925,0.52884058,0.0,0.03445134500000002,0.03445134500000002
S098.csv,RC,"RF, LR",0.504327122,RF,0.527163561,0.511469979,0.022836438999999986,0.015693581999999928,-0.007142857000000058
S062.csv,RC,"RC, RF, LR, MLP",0.54300207,RC,0.54300207,0.531407867,0.0,0.011594203000000025,0.011594203000000025
S059.csv,LR,"LR, MLP, RC",0.52436853,LR,0.52436853,0.52436853,0.0,0.0,0.0
S064.csv,LR,"RC, LR",0.522939959,RC,0.530269151,0.522939959,0.00732919200000004,0.00732919200000004,0.0
S063.csv,LR,"RF, ET, RC, MLP, LR",0.510124224,RF,0.514327122,0.510124224,0.004202897999999955,0.004202897999999955,0.0
S020.csv,LR,"LR, ET, RC, MLP",0.544596273,LR,0.544596273,0.544596273,0.0,0.0,0.0
S043.csv,LR,"LR, RF, RC, MLP",0.537349896,LR,0.537349896,0.537349896,0.0,0.0,0.0
S021.csv,RC,"ET, RF, RC, LR, MLP",0.4726294,ET,0.49,0.47699793,0.017370600000000014,0.013002069999999977,-0.004368530000000037
S087.csv,MLP,"MLP, RC, LR",0.51310559,MLP,0.51310559,0.503043478,0.0,0.010062111999999956,0.010062111999999956
S106.csv,RC,"RF, ET, RC, MLP, LR",0.507122153,RF,0.52310559,0.517163561,0.015983437000000045,0.00594202899999996,-0.010041408000000085
S040.csv,LR,"ET, RC, LR, RF",0.541552795,ET,0.542981366,0.541552795,0.0014285710000000451,0.0014285710000000451,0.0
S013.csv,RC,RC,0.528550725,RC,0.528550725,0.504120083,0.0,0.024430642000000002,0.024430642000000002
S038.csv,RC,"LR, ET, RC, MLP",0.475610766,LR,0.47699793,0.47699793,0.0013871639999999963,0.0,-0.0013871639999999963
S006.csv,MLP,"RF, ET",0.534409938,RF,0.568881988,0.52873706,0.034472049999999976,0.040144928000000024,0.005672878000000048
S065.csv,LR,"ET, RF",0.448426501,ET,0.476956522,0.448426501,0.028530021000000017,0.028530021000000017,0.0
S018.csv,LR,"LR, MLP",0.63505176,LR,0.63505176,0.63505176,0.0,0.0,0.0
S016.csv,MLP,"RC, ET, RF, LR, MLP",0.485942029,RC,0.50010352,0.48573499,0.014161491000000026,0.014368530000000046,0.00020703900000001996
S077.csv,LR,"RF, ET, RC, LR",0.505859213,RF,0.514741201,0.505859213,0.008881987999999952,0.008881987999999952,0.0
S076.csv,LR,"RC, LR",0.488592133,RC,0.497267081,0.488592133,0.008674948000000016,0.008674948000000016,0.0
S047.csv,LR,LDA,0.508881988,LDA,0.560351967,0.508881988,0.051469979000000055,0.051469979000000055,0.0
S100.csv,ET,"LR, RF, RC, MLP",0.476753247,LR,0.498279221,0.498279221,0.021525974000000003,0.0,-0.021525974000000003
S032.csv,LR,"MLP, RC, LR",0.574761905,MLP,0.593374741,0.574761905,0.018612835999999966,0.018612835999999966,0.0
S003.csv,LR,"MLP, ET, RF, LR",0.531407867,MLP,0.545714286,0.531407867,0.01430641900000007,0.01430641900000007,0.0
S102.csv,RC,"RC, LR",0.594989648,RC,0.594989648,0.577743271,0.0,0.01724637699999998,0.01724637699999998
S017.csv,LR,"LR, RC",0.58194617,LR,0.58194617,0.58194617,0.0,0.0,0.0
S046.csv,LR,"RC, MLP, LR",0.521697723,RC,0.524430642,0.521697723,0.002732919000000056,0.002732919000000056,0.0
S091.csv,LR,MLP,0.528944099,MLP,0.563354037,0.528944099,0.03440993800000003,0.03440993800000003,0.0
