0,P,B,AP,A,AA,LR,AA - AP,AA - LR,AP - LR
S047.csv,RC,LDA,0.51300207,LDA,0.560351967,0.508881988,0.04734989700000003,0.051469979000000055,0.004120082000000025
S086.csv,LR,ET,0.545859213,ET,0.584616977,0.545859213,0.03875776400000008,0.03875776400000008,0.0
S026.csv,ET,LR,0.482836439,LR,0.51010352,0.51010352,0.027267081000000026,0.0,-0.027267081000000026
S018.csv,LR,LR,0.63505176,LR,0.63505176,0.63505176,0.0,0.0,0.0
S068.csv,LR,ET,0.501532091,ET,0.535879917,0.501532091,0.03434782600000008,0.03434782600000008,0.0
S106.csv,LR,RF,0.517163561,RF,0.52310559,0.517163561,0.00594202899999996,0.00594202899999996,0.0
S098.csv,MLP,RF,0.492774327,RF,0.527163561,0.511469979,0.034389233999999935,0.015693581999999928,-0.018695652000000007
S007.csv,RC,MLP,0.523022774,MLP,0.55194617,0.543188406,0.028923396000000046,0.008757764000000057,-0.02016563199999999
S019.csv,LR,LR,0.522857143,LR,0.522857143,0.522857143,0.0,0.0,0.0
S029.csv,MLP,LR,0.523167702,LR,0.534699793,0.534699793,0.011532091000000078,0.0,-0.011532091000000078
S017.csv,LR,LR,0.58194617,LR,0.58194617,0.58194617,0.0,0.0,0.0
S010.csv,ET,RC,0.501469979,RC,0.551594203,0.54310559,0.05012422399999994,0.008488612999999923,-0.04163561100000002
S088.csv,RF,RC,0.458324821,RC,0.505592441,0.502247191,0.04726762000000001,0.0033452499999999663,-0.043922370000000044
S006.csv,RF,RF,0.568881988,RF,0.568881988,0.52873706,0.0,0.040144928000000024,0.040144928000000024
S015.csv,LR,LR,0.571801242,LR,0.571801242,0.571801242,0.0,0.0,0.0
S074.csv,LR,LR,0.550414079,LR,0.550414079,0.550414079,0.0,0.0,0.0
S032.csv,RC,MLP,0.579296066,MLP,0.593374741,0.574761905,0.01407867499999993,0.018612835999999966,0.0045341610000000365
S014.csv,ET,RF,0.47115942,RF,0.494223602,0.486915114,0.02306418199999999,0.007308488000000002,-0.015755693999999987
S094.csv,LR,LR,0.540310559,LR,0.540310559,0.540310559,0.0,0.0,0.0
S052.csv,LR,ET,0.5173706,ET,0.534616977,0.5173706,0.01724637699999998,0.01724637699999998,0.0
S097.csv,RC,RF,0.474078675,RF,0.49310559,0.478447205,0.019026914999999978,0.014658384999999996,-0.004368529999999982
S041.csv,RC,RC,0.526045549,RC,0.526045549,0.523250518,0.0,0.0027950310000000034,0.0027950310000000034
S023.csv,MLP,RC,0.47573499,RC,0.489979296,0.477101449,0.014244305999999984,0.012877846999999998,-0.0013664589999999865
S031.csv,LR,ET,0.467039337,ET,0.494306418,0.467039337,0.027267081000000026,0.027267081000000026,0.0
S001.csv,LR,LR,0.508550725,LR,0.508550725,0.508550725,0.0,0.0,0.0
S064.csv,LR,RC,0.522939959,RC,0.530269151,0.522939959,0.00732919200000004,0.00732919200000004,0.0
S096.csv,RC,RC,0.59194617,RC,0.59194617,0.580517598,0.0,0.011428572000000026,0.011428572000000026
S101.csv,LR,RF,0.559047619,RF,0.570745342,0.559047619,0.011697723000000049,0.011697723000000049,0.0
S073.csv,LR,MLP,0.528716356,MLP,0.533084886,0.528716356,0.004368530000000037,0.004368530000000037,0.0
S103.csv,LR,MLP,0.50447205,MLP,0.50873706,0.50447205,0.0042650100000000135,0.0042650100000000135,0.0
S056.csv,LR,MLP,0.504430642,MLP,0.520207039,0.504430642,0.015776396999999998,0.015776396999999998,0.0
S035.csv,MLP,RC,0.543126294,RC,0.546128364,0.54320911,0.003002069999999968,0.0029192539999999267,-8.281600000004108e-05
S087.csv,MLP,MLP,0.51310559,MLP,0.51310559,0.503043478,0.0,0.010062111999999956,0.010062111999999956
