files,AdaBoostClassifier(),BernoulliNB(),ComplementNB(),DecisionTreeClassifier(criterion=entropy),DecisionTreeClassifier(),ExtraTreesClassifier(n_jobs=-1),GaussianNB(),GradientBoostingClassifier(),GradientBoostingClassifier(criterion=mse),"KNeighborsClassifier(algorithm=ball_tree, n_jobs=-1)","KNeighborsClassifier(algorithm=brute, n_jobs=-1)","KNeighborsClassifier(algorithm=kd_tree, n_jobs=-1)",LinearDiscriminantAnalysis(solver=lsqr),LinearDiscriminantAnalysis(),LogisticRegression(n_jobs=-1),"LogisticRegression(n_jobs=-1, penalty=none)",MLPClassifier(max_iter=500),MultinomialNB(),NearestCentroid(),RandomForestClassifier(n_jobs=-1),RidgeClassifier(),SGDClassifier(n_jobs=-1)
S085.csv,0.4700828157349896,0.4828364389233955,0.4166459627329192,0.4282608695652173,0.4282194616977225,0.5173913043478261,0.3692132505175983,0.5087577639751553,0.5173706004140787,0.4396480331262939,0.4396480331262939,0.4396480331262939,0.4313250517598344,0.4313250517598344,0.5073706004140786,0.422815734989648,0.4701242236024844,0.4828157349896481,0.3921946169772257,0.5260248447204969,0.4730434782608695,0.422670807453416
S011.csv,0.4584886128364389,0.4785093167701865,0.477184265010352,0.4253830227743272,0.3995652173913043,0.4914285714285714,0.4409730848861283,0.4511180124223603,0.4511387163561077,0.4297515527950311,0.4297515527950311,0.4297515527950311,0.4453830227743271,0.4453830227743271,0.5043685300207039,0.4441200828157349,0.5203105590062111,0.4828157349896481,0.4281159420289855,0.4742857142857143,0.5015320910973086,0.4208281573498964
S076.csv,0.4181987577639751,0.4856935817805383,0.3088612836438923,0.359047619047619,0.3818219461697722,0.4409316770186335,0.32175983436853,0.4411387163561077,0.4497515527950311,0.4210766045548654,0.4210766045548654,0.4210766045548654,0.4614285714285714,0.4614285714285714,0.4885921325051759,0.4857142857142856,0.4712215320910972,0.4828157349896481,0.3232091097308489,0.4626501035196687,0.4972670807453416,0.445527950310559
S003.csv,0.4925258799171843,0.4827950310559007,0.3317805383022774,0.44527950310559,0.4552587991718426,0.5371428571428571,0.4607453416149067,0.5197722567287785,0.5198757763975156,0.4625258799171842,0.4625258799171842,0.4625258799171842,0.4887577639751552,0.4887577639751552,0.5314078674948239,0.4828364389233954,0.5457142857142857,0.4828157349896481,0.3533954451345755,0.5428985507246378,0.5027950310559006,0.4667494824016563
S025.csv,0.409751552795031,0.4713457556935818,0.4425258799171842,0.3723809523809523,0.3994202898550724,0.5032919254658385,0.2873084886128364,0.4644927536231883,0.4673706004140786,0.4514285714285714,0.4514285714285714,0.4514285714285714,0.4257142857142857,0.4257142857142857,0.5018426501035196,0.4313457556935818,0.4831055900621118,0.4828157349896481,0.4226915113871635,0.4789233954451345,0.4990890269151139,0.409648033126294
S101.csv,0.4656728778467908,0.4656107660455487,0.5419254658385093,0.4181159420289855,0.4327329192546584,0.564824016563147,0.4772049689440994,0.5390062111801243,0.5389648033126293,0.4711594202898551,0.4711594202898551,0.4711594202898551,0.520103519668737,0.520103519668737,0.559047619047619,0.5087163561076604,0.5635403726708075,0.4914078674948241,0.4398343685300207,0.5707453416149069,0.5403933747412009,0.5332298136645963
S108.csv,0.465424430641822,0.4784886128364389,0.4023809523809524,0.4195445134575569,0.4168737060041408,0.479751552795031,0.3234782608695652,0.4769358178053829,0.4899171842650104,0.4453209109730848,0.4453209109730848,0.4453209109730848,0.4353623188405797,0.4353623188405797,0.4884472049689441,0.4554451345755693,0.4941821946169772,0.4828157349896481,0.376583850931677,0.4870186335403726,0.4798136645962733,0.4194202898550724
S008.csv,0.4598757763975156,0.4799171842650104,0.4713457556935818,0.4354658385093167,0.4513871635610766,0.5303105590062112,0.3319461697722567,0.5144927536231885,0.5217184265010353,0.481407867494824,0.481407867494824,0.481407867494824,0.5330227743271221,0.5330227743271221,0.5847826086956522,0.5716770186335405,0.5934575569358178,0.4828157349896481,0.4023602484472049,0.5288612836438922,0.5933747412008282,0.5139958592132505
S017.csv,0.4884679089026916,0.4799171842650104,0.4625465838509316,0.4525258799171842,0.4670807453416149,0.5505383022774326,0.3882815734989648,0.5289648033126293,0.5304140786749482,0.4844927536231883,0.4844927536231883,0.4844927536231883,0.4915734989648032,0.4915734989648032,0.5819461697722568,0.5333540372670807,0.5618633540372671,0.4828157349896481,0.377991718426501,0.5492339544513458,0.5718426501035198,0.5317184265010352
S087.csv,0.4211801242236025,0.4771014492753623,0.4456935817805384,0.3881366459627329,0.3835403726708074,0.4627536231884058,0.448592132505176,0.4155072463768116,0.4213250517598344,0.4538509316770186,0.4538509316770186,0.4538509316770186,0.4629606625258799,0.4629606625258799,0.5030434782608697,0.462815734989648,0.5131055900621118,0.4828157349896481,0.4357556935817805,0.4542236024844721,0.5073706004140786,0.4096894409937888
