0,P,B,AP,A,AA,LR,AA - AP,AA - LR,AP - LR
S035.csv,MLP,"RC, ET, RF, LR, MLP",0.543126294,RC,0.546128364,0.54320911,0.003002069999999968,0.0029192539999999267,-8.281600000004108e-05
S019.csv,MLP,"LR, ET, RF, RC, MLP",0.515672878,LR,0.522857143,0.522857143,0.007184265000000023,0.0,-0.007184265000000023
S017.csv,LR,"LR, MLP, RC",0.58194617,LR,0.58194617,0.58194617,0.0,0.0,0.0
S025.csv,MLP,"ET, RF, RC, LR, MLP",0.48310559,ET,0.503291925,0.50184265,0.020186335,0.0014492750000000276,-0.018737059999999972
S091.csv,RF,MLP,0.511304348,MLP,0.563354037,0.528944099,0.052049688999999955,0.03440993800000003,-0.017639750999999926
S003.csv,MLP,"MLP, ET, RF, LR",0.545714286,MLP,0.545714286,0.531407867,0.0,0.01430641900000007,0.01430641900000007
S001.csv,RF,"LR, ET, RF, RC, MLP",0.479710145,LR,0.508550725,0.508550725,0.028840580000000005,0.0,-0.028840580000000005
S106.csv,RC,"RF, ET, RC, MLP, LR",0.507122153,RF,0.52310559,0.517163561,0.015983437000000045,0.00594202899999996,-0.010041408000000085
S040.csv,LR,"ET, RC, LDA, LR, MLP, RF",0.541552795,ET,0.542981366,0.541552795,0.0014285710000000451,0.0014285710000000451,0.0
S104.csv,LR,"ET, RC, LDA, LR, MLP, RF",0.502849389,ET,0.50608322,0.502849389,0.003233830999999965,0.003233830999999965,0.0
S053.csv,MLP,"MLP, ET, RF",0.498654244,MLP,0.498654244,0.452774327,0.0,0.04587991700000005,0.04587991700000005
S093.csv,LR,"RF, ET, RC, LR",0.48136646,RF,0.498674948,0.48136646,0.01730848800000001,0.01730848800000001,0.0
S102.csv,RC,"RC, LR, LDA",0.594989648,RC,0.594989648,0.577743271,0.0,0.01724637699999998,0.01724637699999998
S080.csv,RF,"LR, ET, RC, MLP",0.444078675,LR,0.474099379,0.474099379,0.03002070400000001,0.0,-0.03002070400000001
S022.csv,RC,"LR, RF, RC, MLP",0.61057971,LR,0.614886128,0.614886128,0.0043064179999999785,0.0,-0.0043064179999999785
S057.csv,ET,"MLP, ET, RF, RC, LR",0.581884058,MLP,0.610600414,0.609233954,0.028716356,0.0013664599999999583,-0.02734989600000004
S013.csv,RF,"RC, MLP, LR",0.452380952,RC,0.528550725,0.504120083,0.076169773,0.024430642000000002,-0.051739130999999994
S090.csv,LR,"LR, ET, RC, MLP",0.545921325,LR,0.545921325,0.545921325,0.0,0.0,0.0
S086.csv,LR,"ET, RF",0.545859213,ET,0.584616977,0.545859213,0.03875776400000008,0.03875776400000008,0.0
S097.csv,MLP,"RF, ET, RC, MLP, LR",0.492836439,RF,0.49310559,0.478447205,0.0002691509999999675,0.014658384999999996,0.014389234000000029
S083.csv,RF,"ET, RC, LDA, LR, MLP, RF",0.443871636,LDA,0.472691511,0.463933747,0.028819874999999995,0.008757764000000001,-0.020062110999999994
S092.csv,LR,"RC, ET, RF, LR, MLP",0.510086823,RC,0.519113892,0.510086823,0.009027069000000054,0.009027069000000054,0.0
S096.csv,RC,"RC, MLP, LR",0.59194617,RC,0.59194617,0.580517598,0.0,0.011428572000000026,0.011428572000000026
S032.csv,MLP,"MLP, ET, RF, RC, LR",0.593374741,MLP,0.593374741,0.574761905,0.0,0.018612835999999966,0.018612835999999966
S101.csv,RF,"RF, ET, MLP, LR",0.570745342,RF,0.570745342,0.559047619,0.0,0.011697723000000049,0.011697723000000049
S082.csv,RC,"MLP, ET, RF, LR",0.526169772,MLP,0.561966874,0.544741201,0.03579710199999997,0.017225672999999997,-0.018571428999999973
S059.csv,ET,"LR, MLP, RC",0.455424431,LR,0.52436853,0.52436853,0.06894409900000004,0.0,-0.06894409900000004
S060.csv,MLP,"RC, ET, RF, LR, MLP",0.534244306,RC,0.548861284,0.545942029,0.014616978000000058,0.0029192550000000095,-0.011697723000000049
S098.csv,RC,"RF, ET, RC, LR",0.504327122,RF,0.527163561,0.511469979,0.022836438999999986,0.015693581999999928,-0.007142857000000058
S015.csv,RF,"LR, ET, RF, RC, MLP",0.563271222,LR,0.571801242,0.571801242,0.008530020000000027,0.0,-0.008530020000000027
S064.csv,LR,"RC, MLP, LR",0.522939959,RC,0.530269151,0.522939959,0.00732919200000004,0.00732919200000004,0.0
S045.csv,RF,"RF, ET, RC, MLP, LR",0.488654244,RF,0.488654244,0.475548654,0.0,0.01310559,0.01310559
S018.csv,LR,"LR, MLP",0.63505176,LR,0.63505176,0.63505176,0.0,0.0,0.0
